[2023-09-26 15:29:09,352] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-09-26 15:29:09,541] INFO [Controller id=0 epoch=6] Sending LeaderAndIsr request to broker 0 with 84 become-leader and 0 become-follower partitions (state.change.logger)
[2023-09-26 15:29:09,569] INFO [Controller id=0 epoch=6] Sending UpdateMetadata request to brokers HashSet(0) for 84 partitions (state.change.logger)
[2023-09-26 15:29:09,609] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 84 partitions (state.change.logger)
[2023-09-26 15:29:09,728] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 6 as part of the become-leader transition for 84 partitions (state.change.logger)
[2023-09-26 15:29:09,778] INFO [Broker id=0] Leader connect-offsets-24 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:09,817] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:09,843] INFO [Broker id=0] Leader quickstart-events-0 with topic id Some(KkSvEcdiSCeE7Rm13fFiEA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:09,863] INFO [Broker id=0] Leader connect-offsets-9 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:09,919] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:09,958] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:09,980] INFO [Broker id=0] Leader connect-status-1 with topic id Some(oflyTWEMT4OcauAzyZASuw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,018] INFO [Broker id=0] Leader connect-offsets-17 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,056] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,079] INFO [Broker id=0] Leader connect-offsets-2 with topic id Some(4_ecRzKsQvCD8DgQTbS1XA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
[2023-09-26 15:29:10,115] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(NtNA-1f_RAqlgrBygGrJiw) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader epoch was -1. (state.change.logger)
